"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"727","4248","Global","Fruits","Bayas","Strawberries","Cuarto","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"728","4249","Global","Fruits","FRESA","Strawberries","Bulk 3-pack 
(3 Pintas)","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"729","4250","Global","Fruits","Bayas","Strawberries","A granel-pack (3 Pintas)","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"730","4251","Global","Fruits","Bayas","Fresa / Long-stemmed Strawberries","Todos los tamaños","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"731","4252","Global","Fruits","Bayas","Asignado por la cadena","Todos los tamaños","","","","Rubus spp.","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"732","4253","Global","Fruits","Bayas","Asignado por la cadena","Todos los tamaños","","","","Rubus spp.","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"733","4254","Global","Fruits","GUANABANA","","Todos los tamaños","","","","Artocarpus altilis","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"734","4255","Global","Fruits","NOPAL","","Todos los tamaños","","","","Opuntia spp.","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"735","4256","Global","Fruits","CARAMBOLA (STARFRUIT)","","Todos los tamaños","","","","Averrhoa carambola","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"736","4257","Global","Fruits","CHIRIMOYA","","Todos los tamaños","","","","Annona cherimola","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"737","4258","Global","Fruits","CEREZAS","Dorado/Rainier/Blanco","Todos los tamaños","","","","Prunus spp.","","Approved","","","Wendy Logan","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"738","4259","Global","Fruits","CEREZAS","Asignado por la cadena","Todos los tamaños","","","","Prunus spp.","","Approved","","","Wendy Logan","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"739","4260","Global","Fruits","COCOS","Coco con cascara","Todos los tamaños","","","","Cocos nucifera","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"740","4261","Global","Fruits","COCOS","Sin cascara","Todos los tamaños","","","","Cocos nucifera","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"741","4262","Global","Fruits","COCOS","Asignado por la cadena","Todos los tamaños","","","","Cocos nucifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"742","4263","Global","Fruits","DATILES","Frescos","Todos los tamaños","","","","Phoenix dactylifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"743","4264","Global","Fruits","DATILES","Asignado por la cadena","Todos los tamaños","","","","Phoenix dactylifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"744","4265","Global","Fruits","FEIJOA","","Todos los tamaños","","","","Acca sellowiana","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"745","4266","Global","Fruits","HIGOS","Negro","Todos los tamaños","","","","Ficus carica","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"746","4267","Global","Fruits","HIGOS","Marrón","Todos los tamaños","","","","Ficus carica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"747","4268","Global","Fruits","HIGOS","Blanco/Verde","Todos los tamaños","","","","Ficus carica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"748","4269","Global","Fruits","HIGOS","Asignado por la cadena","Todos los tamaños","","","","Ficus carica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"749","4270","Global","Fruits","UVAS","Azul/Negro Con semillas","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"750","4271","Global","Fruits","UVAS","Champagne","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"751","4272","Global","Fruits","UVAS","Concord","Todos los tamaños","","","","V.labrusca","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"752","4273","Global","Fruits","UVAS","Rojo Con semillas","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"753","4274","Global","Fruits","UVAS","Blanco/Verde Con semillas","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"754","4275","Global","Fruits","UVAS","Asignado por la cadena","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"755","4276","Global","Fruits","UVAS","Asignado por la cadena","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"756","4277","Global","Fruits","UVAS","Asignado por la cadena","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"757","4278","Global","Fruits","UVAS","Asignado por la cadena","Todos los tamaños","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"758","4279","Global","Fruits","TORONJA","Pummelo","Todos los tamaños","","","","C.gryis","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"759","4280","Global","Fruits","TORONJA","Rubi/Rojo/Rosa","Pequeño","40 size and smaller","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"760","4281","Global","Fruits","TORONJA","Rubi/Rojo/Rosa","Grande","32 and 36 size","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"761","4282","Global","Fruits","TORONJA","Rubi/Rojo/Rosa","Grande","32 and 36 size","Average Fruit Dimensions = 97 - under 108mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"762","4283","Global","Fruits","TORONJA","Rubi/Rojo/Rosa","Grande","36 and 32 size","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"763","4284","Global","Fruits","TORONJA","Deep Rojo","Pequeño","40 size and smaller","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"764","4285","Global","Fruits","TORONJA","Deep Rojo","Pequeño","40 size and smaller","Average Fruit Dimensions = less than 97mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"765","4286","Global","Fruits","TORONJA","Deep Rojo","Pequeño","40 size and smaller","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"766","4287","Global","Fruits","TORONJA","Deep Rojo","Grande","32 and 36 size","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"767","4288","Global","Fruits","TORONJA","Deep Rojo","Grande","32 and 36 size","Average Fruit Dimensions = 97-under 108mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"768","4289","Global","Fruits","TORONJA","Deep Rojo","Grande","36 and 32 size","","","Citrus paradisi","","Approved","","","Bob Oudenaarden","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"769","4290","Global","Fruits","TORONJA","Blanco","Pequeño","40 size and smaller","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"770","4291","Global","Fruits","TORONJA","Blanco","Pequeño","40 size and smaller","Average Fruit Dimensions = less than 97mm","","Citrus paradisi","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"771","4292","Global","Fruits","TORONJA","Blanco","Pequeño","40 size and smaller","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"772","4293","Global","Fruits","TORONJA","Blanco","Grande","32 and 36 size","32 and 36 size","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"773","4294","Global","Fruits","TORONJA","Blanco","Grande","32 and 36 size","Average Fruit Dimensions = 97-under 108mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"774","4295","Global","Fruits","TORONJA","Blanco","Grande","36 and 32 size","","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"775","4296","Global","Fruits","TORONJA","Asignado por la cadena","Todos los tamaños","","","","Citrus paradisi","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"776","4297","Global","Fruits","TORONJA","Asignado por la cadena","Todos los tamaños","","","","Citrus paradisi","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"777","4298","Global","Fruits","TORONJA","Asignado por la cadena","Todos los tamaños","","","","Citrus paradisi","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"778","4299","Global","Fruits","GUAYABA","","Todos los tamaños","","","","Psidium guajava","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"779","4300","Global","Fruits","FRUTA HOMLI","","Todos los tamaños","","","","","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"780","4301","Global","Fruits","KIWI","Asignado por la cadena","Todos los tamaños","","","","Actinidia deliciosa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"781","4302","Global","Fruits","KIWANO (HORNED MELÓN)","","Todos los tamaños","","","","Cucumis metuliferus","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"782","4303","Global","Fruits","NARANJA CHINA","","Todos los tamaños","","","","Fortunella spp.","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"783","4304","Global","Fruits","LIMON","Asignado por la cadena","Todos los tamaños","","","","Citrus limon","","Approved","","","Vicki Bonvetti","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"784","4305","Global","Fruits","LIMONES","Key (incl. Mexican & West Indian)","Todos los tamaños","","","","Citrus aurantifolia","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"785","4306","Global","Fruits","LIMONES","Asignado por la cadena","Todos los tamaños","","","","","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"786","4307","Global","Fruits","OJO DE DRAGON","","Todos los tamaños","","","","Dimocarpus longan","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"787","4308","Global","Fruits","NISPEROS","Chicozapote","Todos los tamaños","","","","Eribotyra japonica","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"788","4309","Global","Fruits","LICHI","","Todos los tamaños","","","","Litchi chinensis","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"789","4310","Global","Fruits","MAMEY","","Todos los tamaños","","","","Pouteria sapota","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"790","4311","Global","Fruits","MANGOS","Verde","Pequeño","12 size and smaller","","","Mangifera indica","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"791","4312","Global","Fruits","MANGOS","Amarillo","Pequeño","18 size and smaller","","","Mangifera indica","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"792","4313","Global","Fruits","MANGOS","Asignado por la cadena","Todos los tamaños","","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"793","4314","Global","Fruits","MANGOS","Asignado por la cadena","Todos los tamaños","","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"794","4315","Global","Fruits","MANGOS","Asignado por la cadena","Todos los tamaños","","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"795","4316","Global","Fruits","MANGOS","Asignado por la cadena","Todos los tamaños","","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"796","4317","Global","Fruits","MELÓN","Canary/Amarillo Honeydew","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"797","4318","Global","Fruits","MELÓN","Cantalupo/
Muskmelon","Pequeño","18 size and smaller","Average Fruit Weight =  less than 1135g","","Cucumis melo","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"798","4319","Global","Fruits","MELÓN","Cantalupo/
Muskmelon","Grande","15 size and larger","Average Fruit Weight =  1135g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"799","4320","Global","Fruits","MELÓN","Casaba","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"800","4321","Global","Fruits","MELÓN","Cinnabar","Todos los tamaños","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"801","4322","Global","Fruits","MELÓN","Crenshaw","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"802","4323","Global","Fruits","Bayas","Strawberries","a granel","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"803","4324","Global","Fruits","MELÓN","French Afternoon","Todos los tamaños","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"804","4325","Global","Fruits","MELÓN","French Breakfast","Todos los tamaños","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"805","4326","Global","Fruits","MELÓN","Galia","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"806","4327","Global","Fruits","MELÓN","Naranja Flesh/Cantaline","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"807","4328","Global","Fruits","LIMEQUATS","","Todos los tamaños","","","","Citrus spp.","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"808","4329","Global","Fruits","MELÓN","Honeydew/Blanco Honeydew","Pequeño","6 size and smaller","Average Fruit Weight =  less than 2040g","","Cucumis melo","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"809","4330","Global","Fruits","MELÓN","Mayan","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"810","4331","Global","Fruits","MELÓN","Mickey Lee Watermelon/SugarBaby","Todos los tamaños","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"811","4332","Global","Fruits","MELÓN","Muskmelon","Todos los tamaños","","","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
